Complaint_ID,Location,Complaint_Text,Category,Priority_Label
CMP-1937,Hyderabad,Patient not treated in emergency ward at Hyderabad.,Hospital Emergency,High
CMP-1938,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1939,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1940,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1941,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1942,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1943,Mumbai,Frequent voltage fluctuation in Mumbai.,Electricity Outage,Medium
CMP-1944,Bengaluru,Dirty drinking water coming from taps in Bengaluru.,Water Supply,Low
CMP-1945,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1946,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1947,Mumbai,Illegal payments forced for basic work in Mumbai.,Corruption Bribe,High
CMP-1948,Bengaluru,"Unsafe area at night in Bengaluru, police patrolling required.",Women Safety,High
CMP-1949,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1950,Mumbai,"Unsafe area at night in Mumbai, police patrolling required.",Women Safety,High
CMP-1951,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1952,Chennai,Power outage since morning in Chennai.,Electricity Outage,Medium
CMP-1953,Mumbai,Officer demanded bribe for service approval in Mumbai.,Corruption Bribe,High
CMP-1954,Chennai,Dirty drinking water coming from taps in Chennai.,Water Supply,Low
CMP-1955,Hyderabad,"Traffic signals not working at Hyderabad, risk of accidents.",Traffic Signal Failure,Medium
CMP-1956,Delhi,Road repair pending for months in Delhi.,Road Damage,Medium
CMP-1957,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1958,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1959,Hyderabad,Harassment incidents reported near Hyderabad. Immediate action needed.,Women Safety,High
CMP-1960,Mumbai,No water supply in Mumbai for 3 days.,Water Supply,Low
CMP-1961,Hyderabad,Garbage not collected for days in Hyderabad.,Garbage Disposal,Low
CMP-1962,Mumbai,Road repair pending for months in Mumbai.,Road Damage,Medium
CMP-1963,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1964,Chennai,"Traffic signals not working at Chennai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1965,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1966,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1967,Mumbai,Patient not treated in emergency ward at Mumbai.,Hospital Emergency,High
CMP-1968,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1969,Chennai,Harassment incidents reported near Chennai. Immediate action needed.,Women Safety,High
CMP-1970,Delhi,"Traffic signals not working at Delhi, risk of accidents.",Traffic Signal Failure,Medium
CMP-1971,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1972,Delhi,Illegal payments forced for basic work in Delhi.,Corruption Bribe,High
CMP-1973,Bengaluru,Broken traffic lights causing congestion in Bengaluru.,Traffic Signal Failure,Medium
CMP-1974,Chennai,No water supply in Chennai for 3 days.,Water Supply,Low
CMP-1975,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1976,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1977,Hyderabad,Illegal payments forced for basic work in Hyderabad.,Corruption Bribe,High
CMP-1978,Mumbai,Overflowing waste bins causing bad smell in Mumbai.,Garbage Disposal,Low
CMP-1979,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1980,Hyderabad,Power outage since morning in Hyderabad.,Electricity Outage,Medium
CMP-1981,Hyderabad,Frequent voltage fluctuation in Hyderabad.,Electricity Outage,Medium
CMP-1982,Mumbai,Harassment incidents reported near Mumbai. Immediate action needed.,Women Safety,High
CMP-1983,Bengaluru,Overflowing waste bins causing bad smell in Bengaluru.,Garbage Disposal,Low
CMP-1984,Chennai,Officer demanded bribe for service approval in Chennai.,Corruption Bribe,High
CMP-1985,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1986,Chennai,Frequent voltage fluctuation in Chennai.,Electricity Outage,Medium
CMP-1987,Hyderabad,"Unsafe area at night in Hyderabad, police patrolling required.",Women Safety,High
CMP-1988,Mumbai,"Traffic signals not working at Mumbai, risk of accidents.",Traffic Signal Failure,Medium
CMP-1989,Delhi,Dirty drinking water coming from taps in Delhi.,Water Supply,Low
CMP-1990,Mumbai,Broken traffic lights causing congestion in Mumbai.,Traffic Signal Failure,Medium
CMP-1991,Bengaluru,Harassment incidents reported near Bengaluru. Immediate action needed.,Women Safety,High
CMP-1992,Delhi,Patient not treated in emergency ward at Delhi.,Hospital Emergency,High
CMP-1993,Delhi,No water supply in Delhi for 3 days.,Water Supply,Low
CMP-1994,Chennai,Illegal payments forced for basic work in Chennai.,Corruption Bribe,High
CMP-1995,Delhi,Huge potholes causing accidents near Delhi.,Road Damage,Medium
CMP-1996,Delhi,Harassment incidents reported near Delhi. Immediate action needed.,Women Safety,High
CMP-1997,Hyderabad,Officer demanded bribe for service approval in Hyderabad.,Corruption Bribe,High
CMP-1998,Hyderabad,No water supply in Hyderabad for 3 days.,Water Supply,Low
CMP-1999,Mumbai,Dirty drinking water coming from taps in Mumbai.,Water Supply,Low
